ID,Category,Subcategory,Topic,Content,Keywords
1,Medical,Combat Trauma,Tourniquet Application,"A tourniquet should be applied 2-3 inches above the wound on the limb, never over a joint. Tighten until bleeding stops completely. Write the time of application on the tourniquet or skin using a marker. Do not remove the tourniquet once applied in the field — this decision is made by a medical officer only. Common Indian Army tourniquet: CAT (Combat Application Tourniquet). If no tourniquet is available, improvise with a belt or cloth and a stick to twist and tighten (windlass method).","tourniquet, bleeding, hemorrhage, limb, first aid, combat casualty care, trauma"
2,Medical,Combat Trauma,Wound Packing,"For deep wounds where a tourniquet cannot be applied (e.g., groin, armpit, neck), pack the wound tightly with gauze or a hemostatic dressing. Push gauze deep into the cavity and apply firm continuous pressure for at least 3-5 minutes. Do not remove packing in the field. Hemostatic agents like QuikClot or HemCon may be issued to soldiers. After packing, apply a pressure dressing on top to maintain pressure.","wound packing, junctional wound, hemostatic, gauze, QuikClot, deep wound, groin, neck wound"
3,Medical,Combat Trauma,Tension Pneumothorax,"A tension pneumothorax occurs when air accumulates in the chest cavity, collapsing the lung. Signs include: difficulty breathing, absent breath sounds on one side, trachea shifted away from the affected side, dropping blood pressure, distended neck veins. Treatment in the field: needle decompression at the 2nd intercostal space, midclavicular line using a 14G needle. A chest seal (vented) should be applied to any open chest wound to prevent this condition.","tension pneumothorax, chest wound, needle decompression, breathing difficulty, chest seal, sucking chest wound, lung collapse"
4,Medical,Combat Trauma,Hypothermia Prevention,"Soldiers are at risk of hypothermia in high-altitude postings like Siachen, Ladakh, or Kashmir. Symptoms progress: shivering (mild), confusion and loss of coordination (moderate), no shivering with altered consciousness (severe). Prevention: never sleep in wet clothes, use layered clothing systems, carry an emergency space blanket, eat high-calorie food regularly, stay hydrated. Treatment: remove wet clothing, insulate the casualty from the ground, apply warmth to the core (armpits, groin, neck), never rub the extremities.","hypothermia, high altitude, Siachen, Ladakh, cold weather, shivering, temperature, mountain warfare"
5,Medical,Combat Trauma,Burns Management,"For burns sustained from vehicle fires, IED blasts, or incendiary weapons: do not apply toothpaste, oil, or ice — these worsen injury. Cool the burn with clean cool (not cold) water for 20 minutes. Cover with a clean non-adhesive dressing. Elevate the affected area. Assess burn depth: superficial (redness), partial thickness (blisters), full thickness (white/charred, no pain). Burns covering more than 20% body surface area require immediate evacuation. Inhalation burns (singed nasal hair, hoarse voice) are life-threatening.","burns, blast injury, IED, fire, inhalation injury, burn dressing, evacuation"
6,Medical,High Altitude,Acute Mountain Sickness (AMS),"AMS occurs when ascending above 2,500m too quickly. Symptoms: headache, nausea, dizziness, fatigue, poor sleep. The most important rule is: never ascend with symptoms. Treatment: descend 300-500m, rest, hydration, Paracetamol or Ibuprofen for headache. Acetazolamide (Diamox) is used for prevention — 125-250mg twice daily starting 1-2 days before ascent. Indian Army postings in Ladakh, Kargil, and Arunachal Pradesh require mandatory acclimatization periods.","AMS, altitude sickness, mountain sickness, acclimatization, Diamox, headache, Ladakh, Kargil, Siachen, high altitude"
7,Medical,High Altitude,High Altitude Pulmonary Edema (HAPE),"HAPE is a life-threatening accumulation of fluid in the lungs at altitude. It is the leading cause of death from altitude illness. Symptoms: breathlessness at rest, dry cough progressing to pink frothy sputum, crackling sound in lungs, cyanosis (blue lips/fingertips). HAPE can develop with or without prior AMS. Immediate treatment: descend at least 1000m urgently, administer supplemental oxygen, Nifedipine 30mg extended release if available. Do not let the casualty exert themselves during descent.","HAPE, altitude, pulmonary edema, breathlessness, oxygen, Nifedipine, high altitude, lung fluid, Siachen"
8,Medical,High Altitude,High Altitude Cerebral Edema (HACE),"HACE is brain swelling due to altitude and is the most severe form of altitude illness. Symptoms: severe headache unresponsive to analgesics, loss of coordination (ataxia — cannot walk a straight line), confusion, altered consciousness, seizures, coma. Ataxia test: ask the soldier to walk heel-to-toe in a straight line. Any difficulty is a red flag. Immediate treatment: descend urgently, supplemental oxygen, Dexamethasone 8mg immediately then 4mg every 6 hours. Hyperbaric bag (Gamow bag) is life-saving if available.","HACE, cerebral edema, altitude, ataxia, coordination, Dexamethasone, Gamow bag, seizure, brain swelling"
9,Medical,Infectious Disease,Heat Stroke vs Heat Exhaustion,"Heat Exhaustion: heavy sweating, weakness, cold/pale/clammy skin, fast weak pulse, nausea, fainting. Core temperature usually below 40°C. Treatment: move to cool area, loosen clothing, apply cool wet cloths, hydrate with ORS. Heat Stroke: high body temperature (above 40°C), hot/red/dry or damp skin, rapid strong pulse, confusion, unconsciousness. This is a medical emergency. Treatment: call for evacuation, rapidly cool the casualty by any means — ice packs to neck/armpits/groin, cool water sponging, fan. Heat stroke can cause permanent organ damage and death if not treated immediately.","heat stroke, heat exhaustion, hyperthermia, ORS, dehydration, desert, Rajasthan, summer, hot weather"
10,Medical,Infectious Disease,Malaria Prevention and Recognition,"Malaria is a serious risk in jungle postings — Northeast India, Andaman Islands, and border areas. Caused by Plasmodium parasites via Anopheles mosquito bites (mostly at night). Symptoms: high fever with chills and sweating in cycles, headache, muscle aches, vomiting. Falciparum malaria (most dangerous type) can cause cerebral malaria, kidney failure, and death. Prevention: use DEET-based insect repellent, permethrin-treated uniforms, sleep under mosquito nets, take prophylactic medication as prescribed. Report any fever after jungle exposure immediately to medical staff.","malaria, mosquito, jungle, fever, chills, DEET, prophylaxis, Northeast India, Andaman, falciparum"
11,Medical,Infectious Disease,Snake Bite Management,"India has the highest snakebite mortality in the world. Venomous snakes soldiers may encounter: King Cobra, Indian Cobra, Common Krait, Russell's Viper, Saw-Scaled Viper. Signs of envenomation: local swelling and pain (viper), drooping eyelids and difficulty swallowing (cobra/krait), bleeding from gums. Do NOT: cut and suck the wound, apply tourniquet, apply electric shock. DO: immobilize the limb below heart level, keep the casualty calm, mark the edge of swelling and time, evacuate urgently to a facility with antivenom. Pressure immobilization bandage is only recommended for neurotoxic snakes (cobra, krait).","snakebite, venomous snake, cobra, krait, viper, antivenom, jungle, field medicine, envenomation"
12,Medical,Infectious Disease,Scrub Typhus,"Scrub typhus is increasingly common in Indian troops posted in forested areas. Caused by Orientia tsutsugamushi, transmitted by larval mites (chiggers). A classic sign is an eschar — a painless black scab at the bite site, often in hidden areas (groin, armpit, behind ear). Symptoms: sudden high fever, severe headache, rash, enlarged lymph nodes. Untreated, it can cause pneumonia, encephalitis, and organ failure. Treatment: Doxycycline 100mg twice daily for 7-14 days. Always check for eschar during medical examination after jungle operations.","scrub typhus, mite, eschar, jungle fever, Doxycycline, forest, chigger, fever, rash"
13,Weapons,Rifle,INSAS Rifle Operation,"The INSAS (Indian Small Arms System) is the standard infantry rifle of the Indian Army. Caliber: 5.56x45mm NATO. Effective range: 400m (point target), 600m (area target). Magazine capacity: 20 or 30 rounds. Modes: single shot and 3-round burst (no fully automatic). Function check: remove magazine, cock weapon, press trigger (should release), apply safety, press trigger (should not release), decock. Common malfunction: double feed — clear by removing magazine, pulling charging handle twice, visually inspect chamber, reload.","INSAS, rifle, 5.56mm, infantry, malfunction, function check, charging handle, magazine, small arms"
