ID,Category,Subcategory,Topic,Content,Keywords
61,Medical,Ophthalmology,Eye Injuries in Combat,"Eye injuries are common in blast and fragmentation incidents. Types: corneal abrasion (foreign body in eye — do not rub, irrigate with clean water, patch both eyes as eyes move together), penetrating eye injury (do not remove object, cover with rigid shield — NOT pressure bandage, evacuate urgently), flash blindness (temporary from explosions or laser — reassure, will recover in minutes to hours), chemical splash (irrigate immediately with large volumes of water for minimum 20 minutes). The golden rule for any serious eye injury: cover, do not compress, evacuate. Vision loss is permanent if penetrating injury is mishandled.",eye injury,blast,fragmentation,corneal abrasion,penetrating eye,flash blindness,irrigation,evacuation,first aid,ocular trauma
62,Medical,Orthopedics,Fracture Management in Field,"Fractures in field conditions must be stabilised before evacuation. Open fracture (bone visible): cover wound with clean dressing, do not push bone back, immobilise, give antibiotics if available (Amoxicillin-Clavulanate), evacuate urgently — infection risk is high. Closed fracture: immobilise joint above and below fracture using improvised splint (rifle, straight branch, rolled sleeping mat) padded with clothing. Check circulation, sensation, and movement (CSM) before and after splinting — pulse distal to fracture must be present. Femur fracture can cause 1-2 litres of internal blood loss — treat for shock.",fracture,splint,open fracture,closed fracture,CSM,improvised splint,femur,blood loss,field medicine,orthopedic
63,Medical,Orthopedics,Spinal Injury Management,"Suspect spinal injury in: fall from height, vehicle rollover, blast injury, diving accident, any trauma with neck or back pain, or unconscious trauma patient. Do NOT bend, twist, or flex the spine. Log roll technique: minimum 3 people, one controls the head maintaining inline stabilisation, two roll the body as a unit. Improvised cervical collar: rolled sleeping mat or clothing around neck. Improvised stretcher: two rifles through sleeves of two jackets. Patient must be moved on a firm surface. Neurological signs: tingling, weakness, or paralysis in limbs after trauma — treat as spinal injury until proven otherwise.",spinal injury,spine,cervical collar,log roll,paralysis,stretcher,trauma,immobilisation,inline stabilisation,field medicine
64,Medical,Pharmacology,Field Medications Reference,"Common medications carried at section or platoon level in Indian Army. Analgesics: Paracetamol 500mg (pain, fever — safe), Ibuprofen 400mg (pain, inflammation — avoid in dehydration/kidney disease), Morphine auto-injector (severe pain, trauma — causes respiratory depression, never give to head injury). Antibiotics: Amoxicillin (infections), Ciprofloxacin (diarrhoea, wound infection). Anti-malarials: Chloroquine or Primaquine (area-dependent). Anti-diarrhoeal: ORS (rehydration — always preferred over stopping diarrhoea with Loperamide in infection). Antacid: Omeprazole. All medications must be checked for allergy before administration.",Paracetamol,Morphine,Ibuprofen,antibiotics,ORS,anti-malarial,field pharmacy,medications,analgesics,pharmacology
65,Medical,Pharmacology,Intravenous Fluid Therapy in Field,"IV fluids are administered in haemorrhagic shock when oral fluids are not possible. Types: Normal Saline (0.9% NaCl — replaces blood volume), Ringer's Lactate (preferred in trauma, more physiologically balanced), Dextrose 5% (for hypoglycaemia — not for fluid resuscitation). Permissive hypotension: in penetrating trauma, target systolic BP of 80-90 mmHg rather than normalising BP — prevents clot disruption. Signs of shock: rapid weak pulse, pale cold clammy skin, altered consciousness, reduced urine output. Two large-bore IV lines in antecubital fossa. Intraosseous (IO) route if IV access fails — drill into tibia.",IV fluids,intravenous,Normal Saline,Ringer's Lactate,shock,haemorrhagic shock,permissive hypotension,IO,intraosseous,trauma resuscitation
66,Medical,Tropical Medicine,Dengue Fever Recognition,"Dengue is transmitted by Aedes mosquito (daytime biter unlike malaria mosquito). Symptoms: sudden high fever, severe headache, pain behind eyes, bone and joint pain (breakbone fever), rash (red with white islands), bleeding from gums or nose. Warning signs of severe dengue: abdominal pain, persistent vomiting, bleeding, rapid breathing, fatigue. No specific antiviral — treatment is supportive: paracetamol (NOT aspirin or ibuprofen — increases bleeding risk), oral rehydration, rest. Platelet monitoring critical. Evacuate if warning signs present. Prevention: DEET repellent effective against Aedes, remove stagnant water from camp area.",dengue,dengue fever,Aedes,mosquito,breakbone fever,rash,platelet,tropical medicine,fever,jungle
67,Medical,Tropical Medicine,Leptospirosis,"Leptospirosis is caused by Leptospira bacteria found in water contaminated by animal urine (rats, dogs, cattle). Common in flooding, waterlogged terrain after monsoon, and jungle operations. Entry: through cuts in skin or mucous membranes. Symptoms: sudden fever, severe muscle pain (especially calves), headache, red eyes (conjunctival suffusion), jaundice (yellow skin/eyes) in severe cases. Weil's disease (severe form): kidney failure, liver failure, bleeding. Prevention: waterproof boots, avoid wading in floodwater with open wounds, doxycycline prophylaxis in high-risk situations. Treatment: Doxycycline or Penicillin.",leptospirosis,Weil's disease,floodwater,monsoon,bacteria,jungle,zoonotic,jaundice,kidney,tropical medicine
68,Medical,Tropical Medicine,Cholera and Diarrhoeal Disease,"Cholera causes profuse rice-water diarrhoea and can kill through dehydration within hours. Caused by Vibrio cholerae in contaminated water. Field sanitation breakdown is the primary cause of outbreaks. ORS (Oral Rehydration Solution) is life-saving — 1 litre water, 6 teaspoons sugar, half teaspoon salt. Zinc supplements reduce severity in children. Antibiotic (Doxycycline or Azithromycin) reduces duration. Prevention: only drink purified water, cook food thoroughly, wash hands after defecation and before eating. Camp sanitation: latrines minimum 30m downwind and downhill from water source and 30m from cookhouse.",cholera,diarrhoea,ORS,oral rehydration,sanitation,latrine,contaminated water,field hygiene,Vibrio,dehydration
69,Field Craft,Observation,Observation Post Duties,"An Observation Post (OP) provides continuous surveillance of a designated area. OP routine: observer and sentry rotate every 30-60 minutes to prevent fatigue-induced errors. Systematic observation: use binoculars, scan from ground to horizon, near to far, left to right in overlapping arcs. Recording: maintain OP log with time, grid, description, and direction of all activity. Reporting: use SALUTE format — Size, Activity, Location, Uniform/Unit, Time, Equipment. Camouflage of OP: no movement during daylight in exposed positions, no smoking, no shine, no noise. Communication: scheduled radio checks minimum every 2 hours.",observation post,OP,surveillance,SALUTE,binoculars,sentry,OP log,reporting,camouflage,reconnaissance
70,Field Craft,Observation,Use of Ground and Dead Ground,"Dead ground is terrain not visible from a specific viewpoint — it can conceal friendly or enemy movement. Identifying dead ground: look at the ground between you and a distant point — any hollow, reverse slope, or depression is potential dead ground. Exploitation: use dead ground to approach enemy positions unobserved. Counter-dead-ground: position OPs and sentry posts to cover likely dead ground. Re-entrants (valleys running toward enemy positions) are classic dead ground used for infiltration. In Kargil, Pakistani infiltrators used dead ground extensively to occupy heights undetected by Indian positions.",dead ground,observation,terrain,re-entrant,reverse slope,infiltration,Kargil,cover,concealment,fieldcraft
